id,plan_id:id,rango_id:id
plan_rango_1,plan_vacacional_oficial,res_vacation_rule_mx_year_1
plan_rango_2,plan_vacacional_oficial,res_vacation_rule_mx_year_2
plan_rango_3,plan_vacacional_oficial,res_vacation_rule_mx_year_3
plan_rango_4,plan_vacacional_oficial,res_vacation_rule_mx_year_4
plan_rango_5,plan_vacacional_oficial,res_vacation_rule_mx_year_5
plan_rango_6,plan_vacacional_oficial,res_vacation_rule_mx_year_6
plan_rango_7,plan_vacacional_oficial,res_vacation_rule_mx_year_7
plan_rango_8,plan_vacacional_oficial,res_vacation_rule_mx_year_8
plan_rango_9,plan_vacacional_oficial,res_vacation_rule_mx_year_9
plan_rango_10,plan_vacacional_oficial,res_vacation_rule_mx_year_10
